Name,Size,Type,Alignment,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,SavingThrows,Skills,WRI,Senses,Languages,CR,Additional,Font,AdditionalInfo,Author
Aarakocra,Medium,humanoid,neutral good,12,13,"20 ft., fly 50 ft.",10,14,10,11,12,11,,Perception,,Normal,Auran,1/4,Dive Attack,Monster Manual,,Wizards of the Coast
Aboleth,Large,aberration,lawful evil,17,135,"10 ft., swim 40 ft.",21,9,15,18,15,18,"Con, Int, Wis","History, Perception",,Darkvision 120,"Deep Speech, Telepathy 120",10,"Amphibious,  Mucous Cloud, Probing Telepathy, Legendary, Lair",Monster Manual,,Wizards of the Coast
Albino Dwarf Warrior,Medium,humanoid (dwarf),ANY,13,30,25 ft.,13,13,17,12,14,11,,"Perception, Stealth, Survival",Poisonres,Darkvision 60,"Common, Dwarvish",1/4,Dwarven Resilience,Tomb of Annihilation,,Wizards of the Coast
Aldani (Lobsterfolk),Medium,monstrosity,lawful neutral,14,49,"20 ft., swim 30 ft.",13,8,12,10,14,10,,"Perception, Survival",,Darkvision 60,Common,1,Amphibious,Tomb of Annihilation,,Wizards of the Coast
Allip,Medium,undead,neutral evil,13,40,fly 40 ft.,6,17,10,17,15,16,"Int, Wis","Perception, Stealth","Acidres, fireres, lightningres, thunderres, nonmagicalres, coldimmu, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 60,Any,5,Incorporeal Movement,Mordenkainen's Tome of Foes,,Wizards of the Coast
Almiraj,Small,beast,unaligned,13,3,50 ft.,2,16,10,2,14,10,,"Perception, Stealth",,"Darkvision 30, tremorsense 60",,0,"Keen Hearing, Keen Sight",Tomb of Annihilation,,Wizards of the Coast
Ambush Drake,Medium,dragon,unaligned,13,22,30 ft.,13,15,14,4,11,6,,"Perception, Stealth",Poisonres,Darkvision 60,Draconic,1/2,"Pack Tactics, Surprise Attack",Hoard of the Dragon Queen,,Wizards of the Coast
"Angel, Deva",Medium,celestial,lawful good,17,136,"30 ft., fly 90 ft.",18,18,18,17,20,20,"Wis, Cha","Insight, Perception","Radiantres, nonmagicalres, charmedimmu, exhaustionimmu, frightenedimmu",Darkvision 120,"All, Telepathy 120",10,"Angelic Weapons, Innate Spellcasting, Magic Resistance",Monster Manual,,Wizards of the Coast
"Angel, Planetar",Large,celestial,lawful good,19,200,"40 ft., fly 120 ft.",24,20,24,19,22,25,"Con, Wis, Cha",Perception,"Radiantres, nonmagicalres, charmedimmu, exhaustionimmu, frightenedimmu",Truesight 120,"All, telepathy 120",16,"Angelic Weapons, Divine Awareness, Innate Spellcasting, Magic Resistance",Monster Manual,,Wizards of the Coast
"Angel, Solar",Large,celestial,lawful good,21,243,"50 ft., fly 150 ft.",26,22,26,25,25,30,"Int, Wis, Cha",Perception,"Radiantres, nonmagicalres, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonimmu",Truesight 120,"All, telepathy 120",21,"Angelic Weapons, Divine Awareness, Innate Spellcasting, Magic Resistance, Legendary",Monster Manual,,Wizards of the Coast
